source,accession,title,summary,organism,pubdate,n_samples,relevance_score,geo_url,supplementary_dir,user_query,paper_ids,paper_count,latest_paper_year,latest_paper_pmid,latest_paper_url,latest_paper_title,cell_type_hits,annotation_methods,annotation_evidence,annotation_tcell_detail,annotation_signal_sources,annotation_confidence,annotation_quality_tier
GEO,GSE300265,Single-cell Transcriptomics Reveal Signatures of Altered B cell Response and T cell Senescence in Geriatric Non-responders to COVID-19 mRNA Vaccination,"The immune response to COVID-19 vaccines is diminished in older individuals. To understand the underlying immunobiology, we analyzed single-cell RNA-seq data from PBMCs of SARS-CoV-2 naïve nursing home residents with varying humoral responses following BNT162b2 vaccination and validated via flow cytometry. Responders (>4500 AU/mL anti-spike titers) showed enrichment for naïve B cell (IGHD, BACH2, CD22) and naïve CD4 T cell and early Tfh-related genes (CCR7, TCF7, LEF1, IL6ST, TGFBR2). Non-responders (<20 AU/mL) displayed elevated markers of T cell senescence (KLRG1, CCL4, CCL5, IL32), immune exhaustion (PD-1), and inflammation (TNF-α, IFN-γ). Flow cytometry revealed reduced CD4 T and B cell frequencies but higher CD8 T and NK cells in non-responders. Despite reduced B cell frequency, non-responders upregulated plasma B cell genes (PRDM1, XPB1, IRF4), suggesting dysregulated B cell differentiation. Our findings point to impaired lymphocyte responses and increased immunosenescence in non-responders, emphasizing the need for enhanced vaccine strategies in aging populations.",Homo sapiens,2026/03/20,12,0.9264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300265,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE300nnn/GSE300265/suppl/,pbmc,,0,,,,,,lab_manual,flow cytometry; validated,tfh,summary,0.37,medium
GEO,GSE292997,Integrin β1 demarks precursors of brain-residing antibody-secreting cells in multiple sclerosis,"Multiple sclerosis (MS) is characterized by B cells that infiltrate the central nervous system (CNS) to mature into antibody-secreting cells (ASCs). To date, it remains to be determined how to benefit from this disease hallmark as a prognostic tool. We aimed to uncover markers that reflect B-cell entry and maturation in the CNS and on that basis explore associations with response to high efficacy therapies in MS. Single-cell RNA sequencing (scRNA-seq) revealed ITGB1 (integrin β1/CD29) as a major discriminator of memory B cells expressing CXCR3, which was validated on protein level by spectral flow cytometry. Functional in vitro assays showed that CD29+CXCR3+ memory B cells preferentially cross a brain microvascular endothelial layer and are more receptive to T-cell help to become ASCs. In MS blood, CD29 and CXCR3 were particularly co-expressed on circulating memory B cells, but not on ASCs. In CNS compartments of MS donors, however, high co-expression of CD29 and CXCR3 was restricted to ex vivo ASCs, which was supported by a stronger upregulation of CD29 on in vitro-differentiated ASCs. In MS, while CD29 was effectively downregulated on CXCR3+ memory B cells that accumulated in the blood of natalizumab-treated patients, CD29 levels were only reduced on CXCR3+ memory B cells that repopulated in cladribine-treated patients without early breakthrough disease activity. Taken together, this study reveals that CD29 defines CXCR3+ B cells with a propensity to infiltrate and develop into ASCs in the CNS, which holds potential to be utilized as a cellular biomarker to predict treatment responses in people with MS.",Homo sapiens,2025/12/19,3,0.9264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292997,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292997/suppl/,pbmc,41698162,1,2026,41698162,https://pubmed.ncbi.nlm.nih.gov/41698162/,Integrin β1 Demarks Precursors of Brain-Residing Antibody-Secreting Cells in Multiple Sclerosis.,,lab_manual,flow cytometry; validated,,summary,0.32,low
GEO,GSE273803,PURE-seq Integrates FACS and PIP-seq for Single-Cell Genomics of Ultra-rare Cells,We used PURE-seq with single-cell RNA-sequencing (scRNA-seq) to study murine long-term hematopoietic stem cells (LT-HSCs) and their transcriptomes in the context of hematopoietic aging.,Homo sapiens; Mus musculus,2025/10/31,17,0.9264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273803,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE273nnn/GSE273803/suppl/,pbmc,41565684,1,2026,41565684,https://pubmed.ncbi.nlm.nih.gov/41565684/,PURE-seq integrates FACS and PIP-seq for single-cell genomics of ultra-rare cells.,,lab_manual,facs,,title; paper_title,0.3,low
GEO,GSE269338,Single-cell transcriptome analysis reveals atypical monocytes circulating ahead of acute graft-versus-host disease clinical onset,"Acute graft-versus-host disease (aGVHD) represents the rejection of the skin, gut and liver tissues of the recipient of an allogenic hematopoietic stem cell transplantation (HSCT) by the donor T-cells. The onset of aGVHD is often rapid and its evolution unpredictable. We undertook the single-cell RNA sequencing of peripheral blood mononuclear cells (PBMCs) collected before aGVHD clinical onset in three patients and at aGVHD diagnosis in one, using four HSCT recipients who remained free of aGVHD as controls. This analysis unveiled the presence in the circulation of particular subpopulations of monocytes and cytotoxic T cells (CTLs) in pre-aGVHD samples up to 18 days before clinical disease. These pre-aGVHD monocytes were characterized by an upregulation of the M2 polarity marker CD163, and the transmembrane protein SIGLEC1/CD169, while their CTL counterparts stood out for the upregulation of the CXCL10 receptor CXCR3 and the antigenic stimulation marker CD70. The occurrence of CD163/CD169-co-expressing monocytes upstream of aGVHD onset was validated using RNAseq data from an independent cohort and by flow cytometry of blood samples. These findings point to potential early diagnostic tools and preventive therapeutic strategies for aGVHD.",Homo sapiens,2025/07/07,14,0.9264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269338,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269338/suppl/,pbmc,39432735,1,2025,39432735,https://pubmed.ncbi.nlm.nih.gov/39432735/,Single-cell transcriptome analysis reveals atypical monocytes circulating ahead of acute graft-versus-host disease clinical onset.,,lab_manual,flow cytometry; validated,cytotoxic t,summary,0.37,medium
GEO,GSE320507,Dysregulated NK-cell gene expression defines the enduring symptoms of long COVID-19,"Long-term COVID-19 syndrome (LTCS) or “long COVID” is a debilitating post-viral condition affecting approximately 2%–8% of individuals after SARS-CoV-2 infection. It manifests typically ≥3 months post-infection with symptoms persisting for at least 2 months, including fatigue, pulmonary dysfunction, and cognitive impairment, in the absence of alternative diagnoses. The biological mechanisms underlying LTCS remain poorly defined, yet emerging evidence implicates immune dysregulation.  We profiled plasma antibodies and cytokines from healthy controls (HC, N = 66), convalescents (CONV, N = 24), and LTCS patients (N = 94), followed by multiparametric 14-color flow cytometry of PBMCs from HC (N = 9), CONV (N = 6), and LTCS (N = 23) participants. To gain mechanistic insight, we performed single-cell transcriptomic profiling (scRNA-seq) on PBMCs from HC (N = 8), CONV (N = 6), and LTCS (N = 32) individuals. LTCS patients exhibited elevated anti-SARS-CoV-2 IgG (spike S1/RBD/N) titers compared to HC, but displayed significantly reduced systemic cytokine levels, including IFN-g, TNF-a, IL-6, and IL-10. Flow cytometry revealed marked depletion of CD56+CD16+ NK cells and CD56+CD3+ NKT cells, accompanied by altered T-cell activation states. scRNA-seq confirmed NK type I cell loss and uncovered broad transcriptional reprogramming with upregulation of PDCD4, CHD1, CXCR4, and SLC7A5 and downregulation of TGFBR3, RIPOR2, and MBNL1. Gene set enrichment analyses indicated activation of circadian and translational programs and suppression of olfactory receptor, neurotransmitter receptor, and GABA-gated ion-channel pathways. Functional assays validated reduced NK-cell inflammatory capacity in LTCS participants. LTCS is characterized by systemic cytokine attenuation and a quantitative and functional NK-cell deficit coupled to neurosensory pathway suppression. These findings identify NK cells as key sentinels of LTCS pathophysiology and highlight an NK-centric neuroimmune axis as a promising target for biomarker discovery and therapeutic intervention.",Homo sapiens,2026/03/05,9,0.9218,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE320507,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE320nnn/GSE320507/suppl/,pbmc,41878441,1,2026,41878441,https://pubmed.ncbi.nlm.nih.gov/41878441/,Dysregulated NK-cell gene expression defines the enduring symptoms of long COVID-19.,,lab_manual,flow cytometry; validated,,summary,0.32,low
GEO,GSE213095,Positive feedback between cDC1s and CD8+ T cells typifies the inflammation of HLA-B27+ arthritis,"Enthesitis-related arthritis (ERA) is a subtype of juvenile idiopathic arthritis (JIA) with enthesitis and sacroiliitis, which differ from other types of JIA in symptoms, pathogenesis, and outcome. Although the association of human leukocyte antigen-B27 (HLA-B27) with ERA has been confirmed for decades, the pathogenesis of ERA is poorly understood. Here, we performed single-cell RNA-seq of 1,73,134 mononuclear cells extricated from patients with oligoarthritis (OligoA) or ERA and integrated 58,725 PBMCs of healthy people to profile the immune characteristic that discriminates ERA from OligoA. We found that conventional type 1 dendritic cells (cDC1s) were enriched in the joints of patients with ERA and exhibited a high level of MHC class I antigen presentation. Central memory CD8+ T cells critically contributed to the elevation of XCL1, recruiting XCR1+ cDC1 in joints of ERA. Flow cytometry and enzyme-linked immunosorbent assay (ELISA) analyses confirmed an increased proportion and interaction of cDC1s and CD8+ T cells. In addition, macrophages occupied the causal position in the pathogenesis of OligoA, along with high expression of MHC class II molecules on macrophages and cDC2s in the joints. This study suggests that the positive feedback between cDC1s and CD8+ T cells is a key mediator of HLA-B27-positive arthritis pathogenesis.",Homo sapiens,2026/02/22,46,0.832,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213095,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213095/suppl/,pbmc,,0,,,,,,lab_manual,flow cytometry,central memory,summary,0.3,low
GEO,GSE275259,Immune profiles of heatstroke patients,"Background: Heatstroke was the most life-threatening disease caused by hyperthermia, but lack of rapidly diagnostic biomarkers. Immune system disturbance was a common feature of the ‘Dual pathway model’ characterized by endotoxemia and hyperthermia, but the specific profiles of the immune system were unclear. Objectives: Our study aimed to explore the specific immune profiles that distinguish heatstroke from aseptic inflammation and sepsis patients, and find diagnostic biomarkers to differentiate heatstroke from sepsis. Methods: Patients in four groups were recruited: heatstroke patients (HS group), sepsis patients (Sepsis group), patients undergoing cardiopulmonary bypass (CPB group) and healthy controls (HC group). The HS patients were matched 1:1 with patients in HC, CPB and Sepsis groups based on age and sex using propensity score analysis. The primary outcome was all-cause mortality, and the secondary outcomes were the incidence of nervous dysfunction (including stroke and delirium), acute heart failure, acute kidney failure or acute lung injury within 30 days. Blood was collected within 24 hours after admission from healthy participants, HS and sepsis patients, and at the end of CPB in the case of CPB patients. This blood was used to perform spectral flow cytometry, measure the plasma level of inflammatory mediators and heat shock protein-70, as well as process single-cell RNA sequencing (sc-RNA seq) to assess the profiles of T cells, B cells, monocytes, and NK cells. Patients with HS and sepsis were followed up for 30 days after admission, while CPB patients were followed up for 30 days after surgery to record the incidence of primary and secondary outcomes. Results: The proportion of TLR4+ monocytes in HS higher than that in HC, CPB and Sepsis groups, and could differentiate heatstroke from sepsis. In HS, the upregulation of HLA genes (HLA-A, HLA-B, HLA-DRA, and HLA-DRB1), the activation of antigen presentation, as well as the inhibition of chemotaxis were found in monocytes highly expressed TLR4 based on sc-RNA seq analysis. In addition, the CCL1 and CXCL8 plasma levels were decreased in HS. Compared with HC and CPB, lymphopenia was found in HS and sepsis, which were attributed by the decreased of T cells counts and NK cells counts. T cells exhaustion was found in HS and sepsis, which was indicated by the upregulation of PD-1 in T cells and its PD-L1 in B cells, upregulation of CD69 and LAG3 but downregulation of TCF7 in T cells, and decreases of plasma levels of TNF-α and IFN-γ. In addition, the Treg/CD8+ T cells ratio was higher in HS patients who experienced death (0.58 vs. 0.35), nervous dysfunction (0.56 vs. 0.29), acute heart failure (0.67 vs. 0.35), and acute lung injury (0.58 vs. 0.34) within 30 days than those who did not. The NK cells cytotoxic activity was decreased in HS, which was indicated by downregulation of CD335, the inhibition of focal adhesion and cell adhesion, as well as the emergence of receptor-ligands pairs related to inhibit NK cells activation in HS, including HLA-A_ KIR3DL1, HLA-B_ KIR3DL2, HLA-C_ KIR2DL1 and HLA-E_ CD94:NKG2A expressed between various immune cells and NK cells. Conclusions: The immune system in HS was characterized by a significant increase in TLR4+ monocytes and immune suppression, the latter of which included lymphocytopenia, T cell exhaustion, and suppressed NK cell cytotoxic activity. TLR4+ monocytes may be regarded as a biomarker to distinguish heatstroke from sepsis, and the Treg/CD8+ T cell ratio may be associated with death and organ failure in heatstroke.",Homo sapiens,2025/03/19,6,0.8225,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275259,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE275nnn/GSE275259/suppl/,pbmc,40084252,1,2025,40084252,https://pubmed.ncbi.nlm.nih.gov/40084252/,Specific immune landscape of heatstroke distinguished from sepsis and aseptic inflammation.,,lab_manual,flow cytometry,treg,summary,0.3,low
GEO,GSE314010,Interleukin-36 upregulated type-I interferon responses in systemic lupus erythematosis by promoting the accumulation of self-nucleic acids,"Several studies have reported an up-regulation of interleukin (IL)-36 in the serum of patients with systemic lupus erythematosus (SLE). Here, we sought to define the mechanisms whereby IL-36 may contribute to the over-activation of type I Interferon (IFN) responses observed in SLE. We carried out single-cell (sc)RNA-seq in healthy peripheral blood mononuclear cells treated with IL-36 (n=5 donors). We compared the genes and transcriptional networks that were induced by IL-36 with those that were upregulated in a published SLE scRNA-seq dataset (n=33 cases and 11 controls). In follow-up studies, we validated the effects of IL-36 on monocytes by real-time PCR (n=9 donors) and flow-cytometry (n=6).   Classical monocytes were the immune population most affected by IL-36 treatment (n=203 Differentially Expressed Genes). In these cells, IL-36 upregulated transcriptional networks (regulons) driven by IRF7, a key activator of type I IFN responses. A similar upregulation of IRF7 regulons was observed in the monocytes of SLE cases, where measurements of IL-36 and IRF7 activity were significantly correlated (r=0.35, P=0.02). Follow-up studies of human monocytes showed that IL-36 downregulates multiple RNAse genes (RNASE1, RNASE6, RNASET2). IL-36 treatment also increased the percentage of apoptotic cells (45% vs 37% in untreated cells; P=0.001), which are a critical source of self-nucleic acids. We find that IL-36 promotes monocyte apoptosis while downregulating self-nucleic acid clearance. Thus, IL-36 contributes to the accumulation of self-nucleic acids, a key driver of type I IFN responses in SLE.",Homo sapiens,2026/03/12,10,0.8126,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314010,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE314nnn/GSE314010/suppl/,pbmc,41607774,1,2025,41607774,https://pubmed.ncbi.nlm.nih.gov/41607774/,Interleukin-36 upregulates type-I interferon responses in systemic lupus erythematosus by promoting the accumulation of self-nucleic acids.,,lab_manual,flow cytometry; validated,,summary,0.32,low
GEO,GSE296972,Single cell immunophenotyping of the Lyme erythema migrans lesion (GEX),"The skin lesion erythema migrans (EM) is the first clinical sign of Lyme disease, an infection due to the tick-transmitted bacterium Borrelia burgdorferi (Bb). Previously we used single cell transcriptomics with B cell and T cell receptor sequencing to characterize the cutaneous immune response in the EM lesion, focusing on B cells. Here, in an expanded sample size, we profiled T cell responses in the EM lesions in comparison to autologous uninvolved skin. In addition to CD4+IFNG+ T cell subsets known to be abundant in the EM, we identified clonal expansion of CD8+GZMK+IFNG+ T cells that comprised the only T cell population with significant differential expression of interferon regulated genes.  This subset included IFNG+ cells with low cytotoxic gene expression, which may promote inflammation.  While FOXP3+ regulatory T cells also were increased in EM, we found that the CD4+FOXP3- effector T cell subset contained cells with the highest differential expression of IL-10.  Fibroblasts, endothelial cells, and pericytes expressed a broader array of chemokines than macrophages. These studies represent the first comprehensive interrogation of the cutaneous T cell response to Bb infection using single cell transcriptomics and provide insight into the orchestration of the skin immune response to this vector-borne pathogen.",Homo sapiens,2025/07/30,20,0.8022,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296972,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296972/suppl/,pbmc,40661371,1,2025,40661371,https://pubmed.ncbi.nlm.nih.gov/40661371/,Single cell immunophenotyping identifies CD8(+) GZMK(+) IFNG(+) T cells as a key immune population in cutaneous Lyme disease.,,lab_manual,immunophenotyping,regulatory t,title; summary; paper_title,0.4,medium
GEO,GSE296971,Single cell immunophenotyping of the Lyme erythema migrans lesion (TCR),"The skin lesion erythema migrans (EM) is the first clinical sign of Lyme disease, an infection due to the tick-transmitted bacterium Borrelia burgdorferi (Bb). Previously we used single cell transcriptomics with B cell and T cell receptor sequencing to characterize the cutaneous immune response in the EM lesion, focusing on B cells. Here, in an expanded sample size, we profiled T cell responses in the EM lesions in comparison to autologous uninvolved skin. In addition to CD4+IFNG+ T cell subsets known to be abundant in the EM, we identified clonal expansion of CD8+GZMK+IFNG+ T cells that comprised the only T cell population with significant differential expression of interferon regulated genes.  This subset included IFNG+ cells with low cytotoxic gene expression, which may promote inflammation.  While FOXP3+ regulatory T cells also were increased in EM, we found that the CD4+FOXP3- effector T cell subset contained cells with the highest differential expression of IL-10.  Fibroblasts, endothelial cells, and pericytes expressed a broader array of chemokines than macrophages. These studies represent the first comprehensive interrogation of the cutaneous T cell response to Bb infection using single cell transcriptomics and provide insight into the orchestration of the skin immune response to this vector-borne pathogen.",Homo sapiens,2025/07/30,20,0.8022,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296971,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296971/suppl/,pbmc,40661371,1,2025,40661371,https://pubmed.ncbi.nlm.nih.gov/40661371/,Single cell immunophenotyping identifies CD8(+) GZMK(+) IFNG(+) T cells as a key immune population in cutaneous Lyme disease.,,lab_manual,immunophenotyping,regulatory t,title; summary; paper_title,0.4,medium
